Start experiments on cifar10 at level=7 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 1e-08, 'lambda2': 2e-05}
[10099]: fg_loss: 0.0472, e_total_loss: 0.0845, e_dis_loss: 0.0000, d_total_loss: 0.0176, d_dis_loss: 0.0000, attack_loss: 0.0737
[10199]: fg_loss: 0.0416, e_total_loss: 0.0842, e_dis_loss: 0.0000, d_total_loss: 0.0180, d_dis_loss: 0.0000, attack_loss: 0.0690
[10299]: fg_loss: 0.0446, e_total_loss: 0.0785, e_dis_loss: 0.0000, d_total_loss: 0.0178, d_dis_loss: 0.0000, attack_loss: 0.0694
[10399]: fg_loss: 0.0558, e_total_loss: 0.0823, e_dis_loss: 0.0000, d_total_loss: 0.0174, d_dis_loss: 0.0000, attack_loss: 0.0701
[10499]: fg_loss: 0.0557, e_total_loss: 0.0876, e_dis_loss: 0.0000, d_total_loss: 0.0179, d_dis_loss: 0.0000, attack_loss: 0.0665
[10599]: fg_loss: 0.0468, e_total_loss: 0.0771, e_dis_loss: 0.0000, d_total_loss: 0.0173, d_dis_loss: 0.0000, attack_loss: 0.0658
[10699]: fg_loss: 0.0378, e_total_loss: 0.0654, e_dis_loss: 0.0000, d_total_loss: 0.0175, d_dis_loss: 0.0000, attack_loss: 0.0654
[10799]: fg_loss: 0.0368, e_total_loss: 0.0687, e_dis_loss: 0.0000, d_total_loss: 0.0171, d_dis_loss: 0.0000, attack_loss: 0.0685
[10899]: fg_loss: 0.0467, e_total_loss: 0.0857, e_dis_loss: 0.0000, d_total_loss: 0.0176, d_dis_loss: 0.0000, attack_loss: 0.0709
[10999]: fg_loss: 0.0377, e_total_loss: 0.0657, e_dis_loss: 0.0000, d_total_loss: 0.0173, d_dis_loss: 0.0000, attack_loss: 0.0699
[11099]: fg_loss: 0.0382, e_total_loss: 0.0687, e_dis_loss: 0.0000, d_total_loss: 0.0170, d_dis_loss: 0.0000, attack_loss: 0.0734
[11199]: fg_loss: 0.0403, e_total_loss: 0.0705, e_dis_loss: 0.0000, d_total_loss: 0.0173, d_dis_loss: 0.0000, attack_loss: 0.0720
[11299]: fg_loss: 0.0370, e_total_loss: 0.0607, e_dis_loss: 0.0000, d_total_loss: 0.0175, d_dis_loss: 0.0000, attack_loss: 0.0717
[11399]: fg_loss: 0.0370, e_total_loss: 0.0538, e_dis_loss: 0.0000, d_total_loss: 0.0172, d_dis_loss: 0.0000, attack_loss: 0.0711
[11499]: fg_loss: 0.0439, e_total_loss: 0.0676, e_dis_loss: 0.0000, d_total_loss: 0.0170, d_dis_loss: 0.0000, attack_loss: 0.0697
[11599]: fg_loss: 0.0516, e_total_loss: 0.0667, e_dis_loss: 0.0000, d_total_loss: 0.0174, d_dis_loss: 0.0000, attack_loss: 0.0698
[11699]: fg_loss: 0.0418, e_total_loss: 0.0623, e_dis_loss: 0.0000, d_total_loss: 0.0174, d_dis_loss: 0.0000, attack_loss: 0.0688
[11799]: fg_loss: 0.0414, e_total_loss: 0.0544, e_dis_loss: 0.0000, d_total_loss: 0.0170, d_dis_loss: 0.0000, attack_loss: 0.0693
[11899]: fg_loss: 0.0313, e_total_loss: 0.0441, e_dis_loss: 0.0000, d_total_loss: 0.0170, d_dis_loss: 0.0000, attack_loss: 0.0710
[11999]: fg_loss: 0.0357, e_total_loss: 0.0559, e_dis_loss: 0.0000, d_total_loss: 0.0171, d_dis_loss: 0.0000, attack_loss: 0.0694
[12099]: fg_loss: 0.0380, e_total_loss: 0.0607, e_dis_loss: 0.0000, d_total_loss: 0.0172, d_dis_loss: 0.0000, attack_loss: 0.0661
[12199]: fg_loss: 0.0370, e_total_loss: 0.0629, e_dis_loss: 0.0000, d_total_loss: 0.0174, d_dis_loss: 0.0000, attack_loss: 0.0686
[12299]: fg_loss: 0.0298, e_total_loss: 0.0603, e_dis_loss: 0.0000, d_total_loss: 0.0170, d_dis_loss: 0.0000, attack_loss: 0.0657
[12399]: fg_loss: 0.0332, e_total_loss: 0.0527, e_dis_loss: 0.0000, d_total_loss: 0.0171, d_dis_loss: 0.0000, attack_loss: 0.0670
[12499]: fg_loss: 0.0534, e_total_loss: 0.1095, e_dis_loss: 0.0000, d_total_loss: 0.0175, d_dis_loss: 0.0000, attack_loss: 0.0677
[12599]: fg_loss: 0.0295, e_total_loss: 0.0621, e_dis_loss: 0.0000, d_total_loss: 0.0171, d_dis_loss: 0.0000, attack_loss: 0.0704
[12699]: fg_loss: 0.0270, e_total_loss: 0.0539, e_dis_loss: 0.0000, d_total_loss: 0.0176, d_dis_loss: 0.0000, attack_loss: 0.0681
[12799]: fg_loss: 0.0229, e_total_loss: 0.0520, e_dis_loss: 0.0000, d_total_loss: 0.0175, d_dis_loss: 0.0000, attack_loss: 0.0709
[12899]: fg_loss: 0.0312, e_total_loss: 0.0424, e_dis_loss: 0.0000, d_total_loss: 0.0171, d_dis_loss: 0.0000, attack_loss: 0.0704
[12999]: fg_loss: 0.0348, e_total_loss: 0.0608, e_dis_loss: 0.0000, d_total_loss: 0.0170, d_dis_loss: 0.0000, attack_loss: 0.0718
[13099]: fg_loss: 0.0364, e_total_loss: 0.0574, e_dis_loss: 0.0000, d_total_loss: 0.0171, d_dis_loss: 0.0000, attack_loss: 0.0726
[13199]: fg_loss: 0.0389, e_total_loss: 0.0584, e_dis_loss: 0.0000, d_total_loss: 0.0169, d_dis_loss: 0.0000, attack_loss: 0.0662
[13299]: fg_loss: 0.0531, e_total_loss: 0.0842, e_dis_loss: 0.0000, d_total_loss: 0.0169, d_dis_loss: 0.0000, attack_loss: 0.0661
[13399]: fg_loss: 0.0592, e_total_loss: 0.1017, e_dis_loss: 0.0000, d_total_loss: 0.0175, d_dis_loss: 0.0000, attack_loss: 0.0708
[13499]: fg_loss: 0.0418, e_total_loss: 0.0651, e_dis_loss: 0.0000, d_total_loss: 0.0169, d_dis_loss: 0.0000, attack_loss: 0.0671
[13599]: fg_loss: 0.0313, e_total_loss: 0.0572, e_dis_loss: 0.0000, d_total_loss: 0.0171, d_dis_loss: 0.0000, attack_loss: 0.0656
[13699]: fg_loss: 0.0254, e_total_loss: 0.0370, e_dis_loss: 0.0000, d_total_loss: 0.0165, d_dis_loss: 0.0000, attack_loss: 0.0663
[13799]: fg_loss: 0.0288, e_total_loss: 0.0397, e_dis_loss: 0.0000, d_total_loss: 0.0167, d_dis_loss: 0.0000, attack_loss: 0.0677
[13899]: fg_loss: 0.0217, e_total_loss: 0.0302, e_dis_loss: 0.0000, d_total_loss: 0.0169, d_dis_loss: 0.0000, attack_loss: 0.0645
[13999]: fg_loss: 0.0196, e_total_loss: 0.0277, e_dis_loss: 0.0000, d_total_loss: 0.0166, d_dis_loss: 0.0000, attack_loss: 0.0673
[14099]: fg_loss: 0.0241, e_total_loss: 0.0293, e_dis_loss: 0.0000, d_total_loss: 0.0169, d_dis_loss: 0.0000, attack_loss: 0.0678
[14199]: fg_loss: 0.0296, e_total_loss: 0.0452, e_dis_loss: 0.0000, d_total_loss: 0.0171, d_dis_loss: 0.0000, attack_loss: 0.0656
[14299]: fg_loss: 0.0299, e_total_loss: 0.0605, e_dis_loss: 0.0000, d_total_loss: 0.0170, d_dis_loss: 0.0000, attack_loss: 0.0661
[14399]: fg_loss: 0.0359, e_total_loss: 0.0584, e_dis_loss: 0.0000, d_total_loss: 0.0169, d_dis_loss: 0.0000, attack_loss: 0.0651
[14499]: fg_loss: 0.0348, e_total_loss: 0.0673, e_dis_loss: 0.0000, d_total_loss: 0.0169, d_dis_loss: 0.0000, attack_loss: 0.0659
[14599]: fg_loss: 0.0330, e_total_loss: 0.0579, e_dis_loss: 0.0000, d_total_loss: 0.0167, d_dis_loss: 0.0000, attack_loss: 0.0644
[14699]: fg_loss: 0.0275, e_total_loss: 0.0523, e_dis_loss: 0.0000, d_total_loss: 0.0167, d_dis_loss: 0.0000, attack_loss: 0.0635
[14799]: fg_loss: 0.0275, e_total_loss: 0.0424, e_dis_loss: 0.0000, d_total_loss: 0.0169, d_dis_loss: 0.0000, attack_loss: 0.0669
