Start experiments on cifar10 at level=7 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 1e-08, 'lambda2': 2e-05}
[9999]: fg_loss: 0.0415, e_total_loss: 0.0972, e_dis_loss: 0.0000, d_total_loss: 0.0150, d_dis_loss: 0.0000, attack_loss: 0.0682
[10099]: fg_loss: 0.0428, e_total_loss: 0.0742, e_dis_loss: 0.0000, d_total_loss: 0.0148, d_dis_loss: 0.0000, attack_loss: 0.0717
[10199]: fg_loss: 0.0437, e_total_loss: 0.0644, e_dis_loss: 0.0000, d_total_loss: 0.0148, d_dis_loss: 0.0000, attack_loss: 0.0679
[10299]: fg_loss: 0.0417, e_total_loss: 0.0657, e_dis_loss: 0.0000, d_total_loss: 0.0148, d_dis_loss: 0.0000, attack_loss: 0.0676
[10399]: fg_loss: 0.0386, e_total_loss: 0.0648, e_dis_loss: 0.0000, d_total_loss: 0.0148, d_dis_loss: 0.0000, attack_loss: 0.0676
[10499]: fg_loss: 0.0394, e_total_loss: 0.0600, e_dis_loss: 0.0000, d_total_loss: 0.0151, d_dis_loss: 0.0000, attack_loss: 0.0668
[10599]: fg_loss: 0.0374, e_total_loss: 0.0670, e_dis_loss: 0.0000, d_total_loss: 0.0150, d_dis_loss: 0.0000, attack_loss: 0.0683
[10699]: fg_loss: 0.0372, e_total_loss: 0.0718, e_dis_loss: 0.0000, d_total_loss: 0.0149, d_dis_loss: 0.0000, attack_loss: 0.0684
[10799]: fg_loss: 0.0270, e_total_loss: 0.0682, e_dis_loss: 0.0000, d_total_loss: 0.0145, d_dis_loss: 0.0000, attack_loss: 0.0698
[10899]: fg_loss: 0.0295, e_total_loss: 0.0523, e_dis_loss: 0.0000, d_total_loss: 0.0148, d_dis_loss: 0.0000, attack_loss: 0.0730
[10999]: fg_loss: 0.0371, e_total_loss: 0.0746, e_dis_loss: 0.0000, d_total_loss: 0.0149, d_dis_loss: 0.0000, attack_loss: 0.0701
[11099]: fg_loss: 0.0361, e_total_loss: 0.0879, e_dis_loss: 0.0000, d_total_loss: 0.0146, d_dis_loss: 0.0000, attack_loss: 0.0654
[11199]: fg_loss: 0.0548, e_total_loss: 0.1061, e_dis_loss: 0.0000, d_total_loss: 0.0150, d_dis_loss: 0.0000, attack_loss: 0.0684
[11299]: fg_loss: 0.0429, e_total_loss: 0.0914, e_dis_loss: 0.0000, d_total_loss: 0.0147, d_dis_loss: 0.0000, attack_loss: 0.0672
[11399]: fg_loss: 0.0487, e_total_loss: 0.0761, e_dis_loss: 0.0000, d_total_loss: 0.0151, d_dis_loss: 0.0000, attack_loss: 0.0647
[11499]: fg_loss: 0.0529, e_total_loss: 0.0882, e_dis_loss: 0.0000, d_total_loss: 0.0150, d_dis_loss: 0.0000, attack_loss: 0.0642
[11599]: fg_loss: 0.0431, e_total_loss: 0.0566, e_dis_loss: 0.0000, d_total_loss: 0.0147, d_dis_loss: 0.0000, attack_loss: 0.0632
[11699]: fg_loss: 0.0419, e_total_loss: 0.0568, e_dis_loss: 0.0000, d_total_loss: 0.0145, d_dis_loss: 0.0000, attack_loss: 0.0642
[11799]: fg_loss: 0.0316, e_total_loss: 0.0457, e_dis_loss: 0.0000, d_total_loss: 0.0146, d_dis_loss: 0.0000, attack_loss: 0.0659
[11899]: fg_loss: 0.0240, e_total_loss: 0.0428, e_dis_loss: 0.0000, d_total_loss: 0.0147, d_dis_loss: 0.0000, attack_loss: 0.0681
[11999]: fg_loss: 0.0245, e_total_loss: 0.0452, e_dis_loss: 0.0000, d_total_loss: 0.0144, d_dis_loss: 0.0000, attack_loss: 0.0666
[12099]: fg_loss: 0.0282, e_total_loss: 0.0540, e_dis_loss: 0.0000, d_total_loss: 0.0146, d_dis_loss: 0.0000, attack_loss: 0.0689
[12199]: fg_loss: 0.0422, e_total_loss: 0.0898, e_dis_loss: 0.0000, d_total_loss: 0.0150, d_dis_loss: 0.0000, attack_loss: 0.0695
[12299]: fg_loss: 0.0445, e_total_loss: 0.0756, e_dis_loss: 0.0000, d_total_loss: 0.0149, d_dis_loss: 0.0000, attack_loss: 0.0679
[12399]: fg_loss: 0.0419, e_total_loss: 0.0731, e_dis_loss: 0.0000, d_total_loss: 0.0145, d_dis_loss: 0.0000, attack_loss: 0.0671
[12499]: fg_loss: 0.0339, e_total_loss: 0.0689, e_dis_loss: 0.0000, d_total_loss: 0.0146, d_dis_loss: 0.0000, attack_loss: 0.0664
[12599]: fg_loss: 0.0289, e_total_loss: 0.0644, e_dis_loss: 0.0000, d_total_loss: 0.0146, d_dis_loss: 0.0000, attack_loss: 0.0674
[12699]: fg_loss: 0.0358, e_total_loss: 0.0630, e_dis_loss: 0.0000, d_total_loss: 0.0147, d_dis_loss: 0.0000, attack_loss: 0.0647
[12799]: fg_loss: 0.0369, e_total_loss: 0.0723, e_dis_loss: 0.0000, d_total_loss: 0.0147, d_dis_loss: 0.0000, attack_loss: 0.0629
[12899]: fg_loss: 0.0388, e_total_loss: 0.0502, e_dis_loss: 0.0000, d_total_loss: 0.0144, d_dis_loss: 0.0000, attack_loss: 0.0635
[12999]: fg_loss: 0.0426, e_total_loss: 0.0520, e_dis_loss: 0.0000, d_total_loss: 0.0148, d_dis_loss: 0.0000, attack_loss: 0.0628
[13099]: fg_loss: 0.0379, e_total_loss: 0.0593, e_dis_loss: 0.0000, d_total_loss: 0.0147, d_dis_loss: 0.0000, attack_loss: 0.0628
[13199]: fg_loss: 0.0431, e_total_loss: 0.0555, e_dis_loss: 0.0000, d_total_loss: 0.0145, d_dis_loss: 0.0000, attack_loss: 0.0622
[13299]: fg_loss: 0.0393, e_total_loss: 0.0477, e_dis_loss: 0.0000, d_total_loss: 0.0144, d_dis_loss: 0.0000, attack_loss: 0.0607
[13399]: fg_loss: 0.0456, e_total_loss: 0.0554, e_dis_loss: 0.0000, d_total_loss: 0.0148, d_dis_loss: 0.0000, attack_loss: 0.0606
[13499]: fg_loss: 0.0343, e_total_loss: 0.0550, e_dis_loss: 0.0000, d_total_loss: 0.0148, d_dis_loss: 0.0000, attack_loss: 0.0619
[13599]: fg_loss: 0.0217, e_total_loss: 0.0377, e_dis_loss: 0.0000, d_total_loss: 0.0147, d_dis_loss: 0.0000, attack_loss: 0.0621
[13699]: fg_loss: 0.0182, e_total_loss: 0.0348, e_dis_loss: 0.0000, d_total_loss: 0.0149, d_dis_loss: 0.0000, attack_loss: 0.0638
[13799]: fg_loss: 0.0144, e_total_loss: 0.0284, e_dis_loss: 0.0000, d_total_loss: 0.0146, d_dis_loss: 0.0000, attack_loss: 0.0639
[13899]: fg_loss: 0.0147, e_total_loss: 0.0250, e_dis_loss: 0.0000, d_total_loss: 0.0142, d_dis_loss: 0.0000, attack_loss: 0.0647
[13999]: fg_loss: 0.0175, e_total_loss: 0.0314, e_dis_loss: 0.0000, d_total_loss: 0.0143, d_dis_loss: 0.0000, attack_loss: 0.0627
[14099]: fg_loss: 0.0256, e_total_loss: 0.0448, e_dis_loss: 0.0000, d_total_loss: 0.0143, d_dis_loss: 0.0000, attack_loss: 0.0616
[14199]: fg_loss: 0.0365, e_total_loss: 0.0609, e_dis_loss: 0.0000, d_total_loss: 0.0145, d_dis_loss: 0.0000, attack_loss: 0.0658
[14299]: fg_loss: 0.0526, e_total_loss: 0.0933, e_dis_loss: 0.0000, d_total_loss: 0.0147, d_dis_loss: 0.0000, attack_loss: 0.0640
[14399]: fg_loss: 0.0560, e_total_loss: 0.0823, e_dis_loss: 0.0000, d_total_loss: 0.0148, d_dis_loss: 0.0000, attack_loss: 0.0605
[14499]: fg_loss: 0.0384, e_total_loss: 0.0676, e_dis_loss: 0.0000, d_total_loss: 0.0147, d_dis_loss: 0.0000, attack_loss: 0.0617
[14599]: fg_loss: 0.0395, e_total_loss: 0.0703, e_dis_loss: 0.0000, d_total_loss: 0.0148, d_dis_loss: 0.0000, attack_loss: 0.0604
[14699]: fg_loss: 0.0333, e_total_loss: 0.0496, e_dis_loss: 0.0000, d_total_loss: 0.0147, d_dis_loss: 0.0000, attack_loss: 0.0610
[14799]: fg_loss: 0.0298, e_total_loss: 0.0557, e_dis_loss: 0.0000, d_total_loss: 0.0145, d_dis_loss: 0.0000, attack_loss: 0.0645
[14899]: fg_loss: 0.0265, e_total_loss: 0.0500, e_dis_loss: 0.0000, d_total_loss: 0.0145, d_dis_loss: 0.0000, attack_loss: 0.0619
[14999]: fg_loss: 0.0239, e_total_loss: 0.0530, e_dis_loss: 0.0000, d_total_loss: 0.0144, d_dis_loss: 0.0000, attack_loss: 0.0657
[15099]: fg_loss: 0.0231, e_total_loss: 0.0511, e_dis_loss: 0.0000, d_total_loss: 0.0147, d_dis_loss: 0.0000, attack_loss: 0.0618
[15199]: fg_loss: 0.0170, e_total_loss: 0.0290, e_dis_loss: 0.0000, d_total_loss: 0.0144, d_dis_loss: 0.0000, attack_loss: 0.0612
[15299]: fg_loss: 0.0325, e_total_loss: 0.0352, e_dis_loss: 0.0000, d_total_loss: 0.0144, d_dis_loss: 0.0000, attack_loss: 0.0614
