Start experiments on cifar10 at level=7 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 1e-08, 'lambda2': 2e-05}
[10399]: fg_loss: 0.0391, e_total_loss: 0.2714, e_dis_loss: 0.1917, d_total_loss: 0.0207, d_dis_loss: 0.0000, attack_loss: 0.0301
[10499]: fg_loss: 0.0406, e_total_loss: 0.2730, e_dis_loss: 0.2076, d_total_loss: 0.0204, d_dis_loss: 0.0000, attack_loss: 0.0295
[10599]: fg_loss: 0.0386, e_total_loss: 0.2551, e_dis_loss: 0.2169, d_total_loss: 0.0208, d_dis_loss: 0.0000, attack_loss: 0.0290
[10699]: fg_loss: 0.0411, e_total_loss: 0.2968, e_dis_loss: 0.2095, d_total_loss: 0.0210, d_dis_loss: 0.0000, attack_loss: 0.0306
[10799]: fg_loss: 0.0449, e_total_loss: 0.2635, e_dis_loss: 0.2114, d_total_loss: 0.0203, d_dis_loss: 0.0000, attack_loss: 0.0301
[10899]: fg_loss: 0.0452, e_total_loss: 0.2907, e_dis_loss: 0.1960, d_total_loss: 0.0208, d_dis_loss: 0.0000, attack_loss: 0.0305
[10999]: fg_loss: 0.0559, e_total_loss: 0.3473, e_dis_loss: 0.2132, d_total_loss: 0.0209, d_dis_loss: 0.0000, attack_loss: 0.0292
[11099]: fg_loss: 0.0461, e_total_loss: 0.2718, e_dis_loss: 0.2161, d_total_loss: 0.0206, d_dis_loss: 0.0000, attack_loss: 0.0287
[11199]: fg_loss: 0.0448, e_total_loss: 0.2576, e_dis_loss: 0.2449, d_total_loss: 0.0206, d_dis_loss: 0.0000, attack_loss: 0.0296
[11299]: fg_loss: 0.0345, e_total_loss: 0.2557, e_dis_loss: 0.2732, d_total_loss: 0.0202, d_dis_loss: 0.0000, attack_loss: 0.0289
[11399]: fg_loss: 0.0306, e_total_loss: 0.2463, e_dis_loss: 0.2130, d_total_loss: 0.0204, d_dis_loss: 0.0000, attack_loss: 0.0287
[11499]: fg_loss: 0.0288, e_total_loss: 0.2513, e_dis_loss: 0.2272, d_total_loss: 0.0202, d_dis_loss: 0.0000, attack_loss: 0.0279
[11599]: fg_loss: 0.0277, e_total_loss: 0.2508, e_dis_loss: 0.2404, d_total_loss: 0.0203, d_dis_loss: 0.0000, attack_loss: 0.0278
[11699]: fg_loss: 0.0345, e_total_loss: 0.2723, e_dis_loss: 0.2659, d_total_loss: 0.0203, d_dis_loss: 0.0000, attack_loss: 0.0273
[11799]: fg_loss: 0.0272, e_total_loss: 0.2351, e_dis_loss: 0.2131, d_total_loss: 0.0203, d_dis_loss: 0.0000, attack_loss: 0.0274
[11899]: fg_loss: 0.0316, e_total_loss: 0.2627, e_dis_loss: 0.2461, d_total_loss: 0.0203, d_dis_loss: 0.0000, attack_loss: 0.0286
[11999]: fg_loss: 0.0358, e_total_loss: 0.2636, e_dis_loss: 0.1850, d_total_loss: 0.0202, d_dis_loss: 0.0000, attack_loss: 0.0275
[12099]: fg_loss: 0.0441, e_total_loss: 0.2739, e_dis_loss: 0.2010, d_total_loss: 0.0204, d_dis_loss: 0.0000, attack_loss: 0.0281
[12199]: fg_loss: 0.0566, e_total_loss: 0.2989, e_dis_loss: 0.2349, d_total_loss: 0.0204, d_dis_loss: 0.0000, attack_loss: 0.0298
